pmra,pmde,jmag,ra,de,pmr_mas,pmd_mas
-1.175E-6,-3.56111E-6,17.621,209.254166666667,8.61916666666667,-4.23,-12.819996
-1.98889E-6,2.5E-8,17.618,46.155,0.791388888888889,-7.160004,0.09
-3.55278E-6,-1.74444E-6,17.617,225.506666666667,12.1163888888889,-12.790009,-6.279984
-8.16667E-7,-5.05556E-7,17.615,175.205833333333,60.2308333333333,-2.9400012,-1.8200016
-2.75278E-6,-5.43667E-5,17.615,175.205833333333,60.2308333333333,-9.910007,-195.72012
3.63056E-6,1.76111E-6,17.609,24.4016666666667,-31.6397222222222,13.070016,6.339996
5.55556E-9,-1.58611E-6,17.603,185.714166666667,24.9991666666667,0.020000016,-5.7099957
2.175E-6,-1.87778E-6,17.599,6.40458333333333,15.7338888888889,7.83,-6.7600083
-1.76389E-6,-8.27778E-7,17.598,136.332083333333,8.82138888888888,-6.350004,-2.980001
4.44444E-8,-1.86111E-7,17.597,147.98625,21.2338888888889,0.15999983,-0.6699996
2.18333E-6,-1.01944E-6,17.596,38.0204166666667,-1.08638888888889,7.859988,-3.6699839
-2.54722E-6,-2.90556E-6,17.59,11.25,-10.6533333333333,-9.169992,-10.460016
6.38889E-8,2.21389E-6,17.59,169.8075,45.0841666666667,0.23000003,7.970004
-2.44167E-6,-3.94444E-7,17.586,171.492916666667,12.2711111111111,-8.790011,-1.4199984
2.36111E-6,-4.26667E-6,17.584,13.8191666666667,-28.6222222222222,8.499996,-15.360013
-2.02778E-7,1.94167E-6,17.58,158.69875,60.3394444444444,-0.7300008,6.990012
-2.35083E-5,-8.71417E-5,17.58,158.69875,60.3394444444444,-84.62988,-313.7101
-1.73333E-6,-1.36944E-6,17.578,113.8025,29.3380555555556,-6.239988,-4.929984
-9.72222E-8,8.19444E-7,17.578,143.292916666667,39.8225,-0.3499999,2.9499984
6.11111E-8,-2.83056E-6,17.568,157.5025,28.2352777777778,0.21999997,-10.190017
-1.11111E-7,-1.10278E-6,17.568,191.300416666667,16.575,-0.3999996,-3.970008
1.13889E-6,2.91389E-6,17.566,227.54875,1.74027777777778,4.1000037,10.490005
-1.17222E-6,-1.63889E-7,17.564,151.185,45.3083333333333,-4.219992,-0.5900004
-1.04444E-6,-9.13889E-7,17.564,207.43,29.5816666666667,-3.7599838,-3.2900004
1.39167E-6,-2.56111E-6,17.563,222.012083333333,12.0975,5.010012,-9.219996
6.66667E-7,1.94444E-8,17.559,121.535416666667,25.1925,2.4000013,0.06999984
